filerange 60673 60840
rangestart 60673 60840

// Subtitles
// 60674	Hyperspace transition complete.  We have arrived at Karos.
60674	ハイパースペース転移を完了。 私達はカロスに到着しました。
// 60675	The Communication Relay is here.  A Fighter or Corvette must dock with it to establish the link.
60675	通信中継器はここにあります。 リンクを確立するためにファイターまたはコルベットをドッキングしなければなりません。
// 60676	Attention.  We have lost contact with one of our capital ships.  Its last recorded position is here.
60676	注意して下さい。 我々はキャピタルシップ一隻との交信を失いました。 最後の記録地点はここです。
// 60677	Hyperspace signatures have been found at these locations but we detect no new ships.
60677	ハイパースペースサインがこれらの場所に見つかりましたが、我々は新たな船を発見できません。
// 60678	We've located one of the missing ships.  It appears that it can be salvaged and reactivated.
60678	We've located one of the missing ships.  It appears that it can be salvaged and reactivated.
// 60679	The Graveyard is defended by autoguns.  They will complicate our attempt to reach the communications array.
60679	船の墓場は自動砲塔によって守られています。 それらは通信アレイに到達しようとする我々の試みをより複雑なものとするでしょう。
// 60680	I'm in!  Communication link established.
60680	私はドッキングさせました！ 通信リンクを確立。
// 60681	Patching into command node now... The Taiidan resistance has been informed of your actions and are preparing the fleets.  You have our thanks.
60681	今、コマンドノードを繋いでいる……。 タイダーン抵抗勢力はあなた達の行動を知り、艦隊を準備している。 感謝する。
// 60682	Patching into command node now... The Kushan resistance has been informed of your actions and are preparing the fleets.  You have our thanks.
60682	Patching into command node now... The Kushan resistance has been informed of your actions and are preparing the fleets.  You have our thanks.
// 60683	The hyperspace coordinates you require have been transferred to your Mothership.  Farewell.
60683	あなた達が必要とするハイパースペース座標はマザーシップに転送された。 ここでお別れだ。
// 60684	Hyperspace Enabled.
60684	ハイパースペースは利用可能です。
// 60685	Karos Automata
60685	カロス自動砲台
// 60686	Taiidan Rebels
60686	タイダーンの反抗者
// 60780	Research Division reports it is now equipped for Cloaked Generator technology.  We advise commencing research immediately.
60780	研究部門はクロークドジェネレーター(CloakedGenerator)テクノロジーに対する準備が整っていると報告しています。 我々はすぐに研究を開始するよう進言します。
// 60781	Research Division reports it is now equipped for Heavy Guns technology.  We advise commencing research immediately.
60781	研究部門はヘヴィガン(HeavyGuns)テクノロジーに対する準備が整っていると報告しています。 我々はすぐに研究を開始するよう進言します。
// 60840	Captain Elson needs to use the communication relay hidden in this area to contact the rebel fleet.  Dock a Fighter or Corvette with the relay to activate it.
60840	エルソン艦長は、反乱軍に連絡するために、この領域に隠された通信中継器を使用する必要があります。 中継器にファイターかコルベットをドッキングして、それを作動させてください。
// 60673	Communications Relay
60673	通信中継器

rangeend
